id;arabicVocalized;arabicUnvocalized;transliteration;german;categoryId;category;partOfSpeech;gender;pluralVocalized;pluralUnvocalized;root;usageNote;hint;frequencyBand;cefrLevel;difficulty;stage;tags;status;lemmaVocalized;lemmaUnvocalized;pattern;wordFamily;collocations;register;activeUse;translationNote
greeting_hello;مَرْحَبًا;مرحبا;marḥaban;Hallo;social;Begrüßung & Höflichkeit;phrase;;;;;Allgemeine Begrüßung;Allgemeine Begrüßung;core;A0;1;1;social|fusha|a0;draft;مَرْحَبًا;مرحبا;;;;neutral;true;
greeting_peace;اَلسَّلَامُ عَلَيْكُمْ;السلام عليكم;as-salāmu ʿalaikum;Friede sei mit euch;social;Begrüßung & Höflichkeit;phrase;;;;;Typische Begrüßungsformel;Typische Begrüßungsformel;core;A0;1;1;social|fusha|a0;draft;اَلسَّلَامُ عَلَيْكُمْ;السلام عليكم;;;;neutral;true;
greeting_reply;وَعَلَيْكُمُ السَّلَامُ;وعليكم السلام;wa-ʿalaikumu s-salām;Und mit euch sei Frieden;social;Begrüßung & Höflichkeit;phrase;;;;;Antwort auf السلام عليكم;Antwort auf السلام عليكم;core;A0;1;1;social|fusha|a0;draft;وَعَلَيْكُمُ السَّلَامُ;وعليكم السلام;;;;neutral;true;
greeting_thanks;شُكْرًا;شكرا;shukran;Danke;social;Begrüßung & Höflichkeit;phrase;;;;;;;core;A0;1;1;social|fusha|a0;draft;شُكْرًا;شكرا;;;;neutral;true;
greeting_please;مِنْ فَضْلِكَ;من فضلك;min faḍlika;Bitte;social;Begrüßung & Höflichkeit;phrase;;;;;;;core;A0;1;1;social|fusha|a0;draft;مِنْ فَضْلِكَ;من فضلك;;;;neutral;true;
greeting_goodbye;مَعَ السَّلَامَةِ;مع السلامة;maʿa s-salāma;Auf Wiedersehen;social;Begrüßung & Höflichkeit;phrase;;;;;;;core;A0;1;1;social|fusha|a0;draft;مَعَ السَّلَامَةِ;مع السلامة;;;;neutral;true;
daily_yes;نَعَمْ;نعم;naʿam;Ja;daily;Alltag;particle;;;;;;;core;A0;1;1;daily|fusha|a0;draft;نَعَمْ;نعم;;;;neutral;true;
daily_no;لَا;لا;lā;Nein;daily;Alltag;particle;;;;;;;core;A0;1;1;daily|fusha|a0;draft;لَا;لا;;;;neutral;true;
daily_how_are_you;كَيْفَ حَالُكَ؟;كيف حالك؟;kaifa ḥāluka?;Wie geht es dir?;daily;Alltag;phrase;;;;;;;core;A0;1;2;daily|fusha|a0;draft;كَيْفَ حَالُكَ؟;كيف حالك؟;;;;neutral;true;
daily_fine;أَنَا بِخَيْرٍ;أنا بخير;anā bikhairin;Mir geht es gut;daily;Alltag;phrase;;;;;;;core;A0;1;2;daily|fusha|a0;draft;أَنَا بِخَيْرٍ;أنا بخير;;;;neutral;true;
daily_name;اِسْمٌ;اسم;ismun;Name;daily;Alltag;noun;masculine;;;;;;core;A0;1;2;daily|fusha|a0;draft;اِسْمٌ;اسم;;;;neutral;true;
daily_today;اَلْيَوْمَ;اليوم;al-yauma;heute;daily;Alltag;adverb;;;;;;;core;A0;1;2;daily|fusha|a0;draft;اَلْيَوْمَ;اليوم;;;;neutral;true;
home_house;بَيْتٌ;بيت;baitun;Haus;home;Zuhause;noun;masculine;;;;;;core;A0;1;2;home|fusha|a0;draft;بَيْتٌ;بيت;;;;neutral;true;
home_door;بَابٌ;باب;bābun;Tür;home;Zuhause;noun;masculine;;;;;;core;A0;1;2;home|fusha|a0;draft;بَابٌ;باب;;;;neutral;true;
home_room;غُرْفَةٌ;غرفة;ghurfatun;Zimmer;home;Zuhause;noun;feminine;;;;;;core;A0;1;2;home|fusha|a0;draft;غُرْفَةٌ;غرفة;;;;neutral;true;
home_kitchen;مَطْبَخٌ;مطبخ;maṭbakhun;Küche;home;Zuhause;noun;masculine;;;;;;core;A0;1;2;home|fusha|a0;draft;مَطْبَخٌ;مطبخ;;;;neutral;true;
home_window;نَافِذَةٌ;نافذة;nāfidhatun;Fenster;home;Zuhause;noun;feminine;;;;;;core;A0;1;2;home|fusha|a0;draft;نَافِذَةٌ;نافذة;;;;neutral;true;
home_chair;كُرْسِيٌّ;كرسي;kursiyyun;Stuhl;home;Zuhause;noun;masculine;;;;;;core;A0;1;2;home|fusha|a0;draft;كُرْسِيٌّ;كرسي;;;;neutral;true;
learning_book;كِتَابٌ;كتاب;kitābun;Buch;education;Lernen & Sprache;noun;masculine;;;;;;core;A0;1;2;education|fusha|a0;draft;كِتَابٌ;كتاب;;;;neutral;true;
learning_pen;قَلَمٌ;قلم;qalamun;Stift;education;Lernen & Sprache;noun;masculine;;;;;;core;A0;1;2;education|fusha|a0;draft;قَلَمٌ;قلم;;;;neutral;true;
learning_notebook;دَفْتَرٌ;دفتر;daftarun;Heft;education;Lernen & Sprache;noun;masculine;;;;;;core;A0;1;2;education|fusha|a0;draft;دَفْتَرٌ;دفتر;;;;neutral;true;
learning_lesson;دَرْسٌ;درس;darsun;Lektion;education;Lernen & Sprache;noun;masculine;;;;;;core;A0;1;2;education|fusha|a0;draft;دَرْسٌ;درس;;;;neutral;true;
learning_student;طَالِبٌ;طالب;ṭālibun;Schüler/Student;education;Lernen & Sprache;noun;masculine;;;;;;core;A1;2;3;education|fusha|a1;draft;طَالِبٌ;طالب;;;;neutral;true;
learning_teacher;مُعَلِّمٌ;معلم;muʿallimun;Lehrer;education;Lernen & Sprache;noun;masculine;;;;;;core;A1;2;3;education|fusha|a1;draft;مُعَلِّمٌ;معلم;;;;neutral;true;
food_water;مَاءٌ;ماء;māʾun;Wasser;food;Essen & Trinken;noun;masculine;;;;;;core;A0;1;2;food|fusha|a0;draft;مَاءٌ;ماء;;;;neutral;true;
food_food;طَعَامٌ;طعام;ṭaʿāmun;Essen;food;Essen & Trinken;noun;masculine;;;;;;core;A0;1;2;food|fusha|a0;draft;طَعَامٌ;طعام;;;;neutral;true;
food_bread;خُبْزٌ;خبز;khubzun;Brot;food;Essen & Trinken;noun;masculine;;;;;;core;A0;1;2;food|fusha|a0;draft;خُبْزٌ;خبز;;;;neutral;true;
food_tea;شَايٌ;شاي;shāyun;Tee;food;Essen & Trinken;noun;masculine;;;;;;core;A0;1;2;food|fusha|a0;draft;شَايٌ;شاي;;;;neutral;true;
food_coffee;قَهْوَةٌ;قهوة;qahwatun;Kaffee;food;Essen & Trinken;noun;feminine;;;;;;core;A1;2;3;food|fusha|a1;draft;قَهْوَةٌ;قهوة;;;;neutral;true;
food_milk;حَلِيبٌ;حليب;ḥalībun;Milch;food;Essen & Trinken;noun;masculine;;;;;;core;A1;2;3;food|fusha|a1;draft;حَلِيبٌ;حليب;;;;neutral;true;
family_father;أَبٌ;أب;abun;Vater;family;Familie & Menschen;noun;masculine;;;;;;core;A0;1;2;family|fusha|a0;draft;أَبٌ;أب;;;;neutral;true;
family_mother;أُمٌّ;أم;ummun;Mutter;family;Familie & Menschen;noun;feminine;;;;;;core;A0;1;2;family|fusha|a0;draft;أُمٌّ;أم;;;;neutral;true;
family_brother;أَخٌ;أخ;akhun;Bruder;family;Familie & Menschen;noun;masculine;;;;;;core;A0;1;2;family|fusha|a0;draft;أَخٌ;أخ;;;;neutral;true;
family_sister;أُخْتٌ;أخت;ukhtun;Schwester;family;Familie & Menschen;noun;feminine;;;;;;core;A0;1;2;family|fusha|a0;draft;أُخْتٌ;أخت;;;;neutral;true;
family_son;اِبْنٌ;ابن;ibnun;Sohn;family;Familie & Menschen;noun;masculine;;;;;;core;A1;2;3;family|fusha|a1;draft;اِبْنٌ;ابن;;;;neutral;true;
family_daughter;بِنْتٌ;بنت;bintun;Tochter;family;Familie & Menschen;noun;feminine;;;;;;core;A1;2;3;family|fusha|a1;draft;بِنْتٌ;بنت;;;;neutral;true;
city_street;شَارِعٌ;شارع;shāriʿun;Straße;places;Orte & Unterwegs;noun;masculine;;;;;;core;A1;2;3;places|fusha|a1;draft;شَارِعٌ;شارع;;;;neutral;true;
city_market;سُوقٌ;سوق;sūqun;Markt;places;Orte & Unterwegs;noun;masculine;;;;;;core;A1;2;3;places|fusha|a1;draft;سُوقٌ;سوق;;;;neutral;true;
city_school;مَدْرَسَةٌ;مدرسة;madrasatun;Schule;places;Orte & Unterwegs;noun;feminine;;;;;;core;A1;2;3;places|fusha|a1;draft;مَدْرَسَةٌ;مدرسة;;;;neutral;true;
city_mosque;مَسْجِدٌ;مسجد;masjidun;Moschee;places;Orte & Unterwegs;noun;masculine;;;;;;core;A1;2;3;places|fusha|a1;draft;مَسْجِدٌ;مسجد;;;;neutral;true;
time_morning;صَبَاحٌ;صباح;ṣabāḥun;Morgen;time;Zeit;noun;masculine;;;;;;core;A1;2;3;time|fusha|a1;draft;صَبَاحٌ;صباح;;;;neutral;true;
time_evening;مَسَاءٌ;مساء;masāʾun;Abend;time;Zeit;noun;masculine;;;;;;core;A1;2;3;time|fusha|a1;draft;مَسَاءٌ;مساء;;;;neutral;true;
number_one;وَاحِدٌ;واحد;wāḥidun;eins;numbers;Zahlen;number;;;;;;;core;A1;2;3;numbers|fusha|a1;draft;وَاحِدٌ;واحد;;;;neutral;true;
number_two;اِثْنَانِ;اثنان;ithnāni;zwei;numbers;Zahlen;number;;;;;;;core;A1;2;3;numbers|fusha|a1;draft;اِثْنَانِ;اثنان;;;;neutral;true;
number_three;ثَلَاثَةٌ;ثلاثة;thalāthatun;drei;numbers;Zahlen;number;;;;;;;core;A1;2;3;numbers|fusha|a1;draft;ثَلَاثَةٌ;ثلاثة;;;;neutral;true;
verb_go;ذَهَبَ;ذهب;dhahaba;er ging;verbs;Grundverben;verb;;;;;;;common;A2;3;4;verbs|fusha|a2;draft;ذَهَبَ;ذهب;;;;neutral;true;
verb_write;كَتَبَ;كتب;kataba;er schrieb;verbs;Grundverben;verb;;;;;;;common;A2;3;4;verbs|fusha|a2;draft;كَتَبَ;كتب;;;;neutral;true;
verb_read;قَرَأَ;قرأ;qaraʾa;er las;verbs;Grundverben;verb;;;;;;;common;A2;3;4;verbs|fusha|a2;draft;قَرَأَ;قرأ;;;;neutral;true;
verb_learn;تَعَلَّمَ;تعلم;taʿallama;er lernte;verbs;Grundverben;verb;;;;;;;common;A2;3;4;verbs|fusha|a2;draft;تَعَلَّمَ;تعلم;;;;neutral;true;
social_welcome;أَهْلًا وَسَهْلًا;أهلا وسهلا;ahlan wa-sahlan;Herzlich willkommen;social;Begrüßung & Höflichkeit;phrase;;;;;;;core;A0;1;1;social|fusha|a0;draft;أَهْلًا وَسَهْلًا;أهلا وسهلا;;;;neutral;true;
social_good_morning;صَبَاحُ الْخَيْرِ;صباح الخير;ṣabāḥu l-khayr;Guten Morgen;social;Begrüßung & Höflichkeit;phrase;;;;;;;core;A0;1;1;social|fusha|a0;draft;صَبَاحُ الْخَيْرِ;صباح الخير;;;;neutral;true;
social_morning_reply;صَبَاحُ النُّورِ;صباح النور;ṣabāḥu n-nūr;Guten Morgen (Antwort);social;Begrüßung & Höflichkeit;phrase;;;;;;;core;A0;1;1;social|fusha|a0;draft;صَبَاحُ النُّورِ;صباح النور;;;;neutral;true;
social_good_evening;مَسَاءُ الْخَيْرِ;مساء الخير;masāʾu l-khayr;Guten Abend;social;Begrüßung & Höflichkeit;phrase;;;;;;;core;A0;1;1;social|fusha|a0;draft;مَسَاءُ الْخَيْرِ;مساء الخير;;;;neutral;true;
